,content
153,Interesting app to be proud of
154,Excellent💯👍👏 work
155,Very good platform to learn. Please introduce dark theme. It would be amazing if we could take the graded quiz on the app.
156,Ya complete my course
157,Excellent
158,There is a bug since a minth and no one fixes it. AWFULL!!!!
159,Worst app
160,I am rating an app for the first time. And trust me you cannot afford to miss out on Coursera.✍️✍️✍️👌
161,This is very good app for the learners
162,💕
163,No PiP mode!
164,"Worst Dont waste a single penny in this app, Coursera is worst of the teaching platform in the whole internet. Even udemy worst courses are far better that courseras best course. They dont teach U anything they give exersises and say u to figure out at ur own. I wished i had given my money to charity or somewhere else before spending it on this course. Just waste of my Time and Money"
165,It is very slowly app
166,I can't download videos .. what's the problem 😓
167,Good
168,the fact that you can learn for free is awesome.love it
169,I want to give 0 star. But it can't be possible. Because of the many fake notifications of this app. It will confuse you brother / sister. It will say that you can get free certificate but after completing you can't get any. It was already happened with me. So ignore this type of fake app.
170,Very educative
171,Greatest
172,Amazing App.
173,"Great site. Poor app. Skip it and just use your browser instead. Videos in the app regularly cut out regardless of connection. Text, especially math or programming languages, is often unreadable due to lack of rendering support. Special features like ID verification just don't work at all."
174,Great app
175,Great 👍
176,I am unbale to verify my account using just the camera from coursera website or app.Please make additional changes to upload document and photo. I tries a lot. Worst experience.
177,"I'm out $200 because these snakes changed the price on a class that I signed up to audit. I never sign up for trial classes, only ones that I can audit for free since I don't need certification, I just want knowledge. Well they changed it to a subscription of $50 a month with zero heads up. I just happened to log on and see it this morning, and even though it was within 12 hours of paying I can't get a refund. They also sold my phone number when I first made my account. It's disgusting."
178,Free to use because my college give an id to use and get the extraordinary skills from coursera😘😇🥳🥳
179,Mantap abis
180,"Not sure what happened during the latest update to the app but its very buggy. I can't unenroll from classes, enroll into classses, or access certificates that have been completed anymore. Sometimes I have trouble seeing the content."
181,Here comes the karma for your false advertisement.
182,Fantastic app But hope you guys make it optimized for Android tablets
183,"Pointless. I couldn't remember my password from my account and trying to reset it within the app just gives you a constant loop without the ability to change it. Garbage design for a company that claims to be about learning or whatever. The service itself is good, but this app is an absolute mess. Just stick to their website."
184,Practical application
185,I cannot login after 4 lectures...full waste of time and money
186,"Cousera is amazing, however, this app needs to have some bugs fixed. Certain videos have questions in the middle of the video, but once the video pauses it's a struggle to get it to play again. Once you pause the video, playing the video again is a big hassle. Even though u press the play button it'll automatically pause by itself. Not a very smooth experience unfortunately."
187,From last one I have connections problem. How to overcome the problem. Coursera is not opening on laptop and mobile. Website and app also not working. What should I do?
188,Very good app and Coursera is simply awesome
