,content
4825,Nice app for online MOOCs.
4826,"It is good but I couldn’t submit pdf/doc file in my peer assignment 🥺, why this is happening? I also try from google chrome but still facing the same Problem......"
4827,Unerollment is not possible in this app..
4828,Nice
4829,I cannot access the quiz and therefore can't proceed with there est of the course. Been four days and haven't received a single email from customer support.
4830,This is a very good app for learning no doubt about it. The battery is drained like a bullet train if any download content is being played. Otherwise one of best if not the best.
4831,The app is very good.but there is a bug in the app that completed courses does not update...and i just want a favorite button.😊BTW this is the one of the best platform.
4832,The save note feature is not in the app. It would be better if it is useable in the app as well.
4833,Convenient and usefully fully satisfied with the explanation of the instructor
4834,Stupid ui ux
4835,"The app seems to have problems with uploading the assignment section and also the peer review is not updated after its completion, missed my failing grade of a course that was 100 percent done."
4836,"Since the update, I can't even sign in. Keeps losing the internet connection. That problem was due to problems with my internet service provider. Now, I use the app offline. I download the unit material and tap aeroplane mode in order to access downloads rather than the online version. The answers to quizzes are supposed to be saved and graded once back online. This doesn't happen. I have to do the quizzes again online in order to get them graded."
4837,Great coursera team..
4838,Best learning app but course fee was very very high
4839,Downloaded video keeps breaking every second and it makes it impossible for me to learn what is being taught.
4840,Its helpful
4841,Excellent
4842,Good but lags when u download offline videos
4843,"Seriously a crappy buggy app, even though the lectures and the content are good, the tests are so buggy. I've passed a test with 9/10 questions correct, it shows me I've passed, yet it shows all answers incorrect, and doesn't even show which 1 of the 10 was wrong, by just displaying a blank screen for all the question cards. Really disappointed."
4844,Good for courses.. but not worth for the prices
4845,Great app to learn something new 👍... good content as well.....
4846,Nice experience but need wide range of courses
4847,Very Good
4848,I m facing the online problem in this software
4849,My downloaded courses wipes off Everytime and I have to download it again. The aim of the app is defeated then
4850,"Be careful with subscription! I enrolled the course but after 2 days I decided to cancel subscription. (It is possible only on the website). In addition I did everything according to instructions, but I didn't receive the confirmation letter. I didn't pay attention due to enormous amount of ads from Coursera on my email. Today I've gotten a receipt for subscription and unsubscribed one more time. There's no possibility to refund my payment according to Help Center. ;("
4851,Chargeable App
4852,Good app but having lack of courses
4853,Great platform of learning
4854,"I have tried for college students free courses but its always says email is not verified, i have contacted the Coursera team ,no reply came!"
4855,Guys please add dark mode....u better know why.
4856,Not useful material i suggest udemy .
4857,Android version :6.0 Kernel version:3.18.19+ Device:Lenovo-phab2 (lenovopb2-650m) App not responding.After that my UI freezes.I have to force restart my mobile to make my phone working again.
4858,"Issue on my Samsung Galaxy Tab A 9in, when playing video in landscape mode the aspect ratio doesn't fit the screen perfectly and content is sometimes cut off at the sides as result. Playing in portrait mode or mobile device are fine, but I wish there was an option to adjust how videos fit to screens."
4859,Awesome app but some features are only applied to pc mode
4860,It is not working properly
4861,Sync with Google Calendar doesn't work. Useless App
4862,"something wrong this app, i can't upload file. showing error"
4863,Horrible. Site can't be accessed online through PC or laptop and assignments are cannot be submitted through mobile app.
4864,"Bad experience , worst app"
4865,I have signed for some coureses on coursera app but when it comes to assign my work in workshop there is some error shown every time and i cant upload my assignment file please fix the issue because of that i am not able to complete my course and get grades thank you.
4866,I'm using this for a month now and I've got a good experience using the app. But I'm having some problems the past few days because the lecture videos are lagging even if you download it. You need to open and close the app everytime you pause the video just to fix the way the video lags and it's pretty annoying. I hope this will be fixed if ever an update will be available.
4867,Good
4868,It's really good. Some issues are to be fixed. It's more and more good over PC
4869,"Please, please bring back landscape mode so the app is useable on tablets!"
4870,Thank you so much free courses during covid 19. It's really a very useful. 🙏
4871,Bad
4872,Really had a very bad experience You can't upload a file even if they says pdf only you can't even upload them then error will happen and and you can't have that assignment changed because it's already locked. Without any file the assignment will get uploaded.
4873,I am too much disappointed about coursera while I completed all my videos and quizzes they had locked my assignments...
4874,Excellent app
4875,Bhurji sher rajdut
4876,Good
4877,"Cant use the Verify My ID settings in both the web and mobile app. 1. Can't detect my camera in both mobile and laptop 2. After uploading my driving licence, it requested face detection/photos, and since it can't detect my laptop camera, it provides qr code, but when i scan the qr code, the mobile browser started process to upload by driving licence again 3. Cant upload or use the camera function on my mobile app and mobile browser. There is no selection to allow app to access my mobile camera."
4878,"Dark theme is missing, UI is a little bit outdated"
4879,"Coursera is one of the best platform to learn new skills, technologies, languages,etc from experts. It also have tough questions in assignments which needs high thinking ability."
4880,The best app to learn anything you want. Loving it😍
4881,Coursera app is really good but it has some stability issues.when we open the app it takes more time to load and sometimes may fail to load the forrums.The offline video availability should have subtitles added to it so that we can use it offline more conveniently. I hope the team would take concern about these issues.
4882,A great platform indeed
4883,"Keeps lagging, even with downloaded videos. Please fix. Thanks"
4884,"There are few bugs in this app .... First of all ... When I save any video offline and start watching it , the videos start lagging after ... say 15-20 mins ..... Also by that time my phone gets heated so badly that I have to wait for it to cool down for around 5 mins .... And at last .... It drains the battery at a very fast pace .... I mean ..... This heating and battery drain problem with Coursera app is more severe than when I play Pubg .... Is it a joke !!!!! Disappointed"
4885,Coursera Best Learning App
4886,I used to study with this app of our Stanford university
4887,App is not opening properly
4888,Why it don't have play store credit as payment method? I don't want to issue credit card just this app.
4889,Good learning experience!
4890,Good Application
4891,I lovvvvvvvveeeeeee Coursera 😍😍😍😍😍😍😍 It's the best learning ground for me 😁😁
4892,Good quality courses and well crafted ala carte
4893,Goooood
4894,Worst app design
4895,Good
4896,"Improvement advices: - Add bottom for store note ( as in website). - Allow to have a dark theme reader for the textscript or for the entire app. But have a bottom for storing text is essential. I cannot spend 4 hours watching videos on my laptop, for this reason the app should have same functionality or even more of the website :)"
4897,"Not very intuitive application, ther are no notifications or ability to give assignment"
4898,"Yo no sé si todos los cursos son así. Pero, cogí un curso de diseño web y el profesor es un completo inepto, no sabe enseñar, hace tareas y acciones que no enseña como hacerlas pero a él le salen y a tí no, aburrida la clase y solo logra enojarte y estresarte. No sé si llegue terminar éste curso, pero éso sí. Primero y último que tomo."
4899,"The best apps among the all online educational courses. Most of the coursers offered are free of cost. Helps you gain a lot of knowledge regarding any subject, be it tech or non-tech. Adds value to you CV :)"
4900,Best educational institutions all are in one app
4901,On the go learning!
4902,The maths formula are not given in readable form on my Lenovo Tab ... kindly fix the issue
4903,Great learning experience!
4904,Good app
4905,Best app for skills to improve
4906,"From last 2 updates the app is showing ""Something went wrong!! Pls check ur internet connection"". Well my internet connection is very much fine. it is working fine for other apps. Also it says ""error loading data"". Although coursera is a great learning platform, this kind of errors hinders the learning interest."
4907,It's good but yeah there are some flaws that can be fixed...
4908,Needs quality saving feature. Every time lecture changes I need to scale down HD to Low.
4909,The worry for me right now is if there's a special reason why I cannot access attachments under lecture videos on the app. I have downloaded all videos on my mobile. It doesn't make any sense for me to go on the web and load the videos again because I want access to the attachments.
4910,"Can't upload assignment (pdf, txt, doc, or whatsoever file) Can't review and grade peer assignment Limited access and results! Can't contact help staff"
4911,Really helpful
4912,Good app. Keep it up.
4913,The app version works very well. It helps to catch up with deadlines when one is on the move or access to computer is limited. I finished almost half of a 6 weeks long course through the app. Two thumbs up
4914,Awesome 😊 Best Aap For Education.
4915,Works well. Very easy to study from my phone.
4916,It can't load in low Internet speed
4917,I just started using this app I'm so far happy with it. There are four modules that I'm expected to complete all of which are outlined in the beginning therefore there is no surprise do any of the modules. Is lays out the time frame in which each module should be completed and even counts down by the hour and minute. The videos are easy to understand and it's an interactive course meaning they asked the students questions you answer and then you could see the results usually in a percentage.
4918,Love Everything about Coursera. This is such a valuable MOOC and an App.
4919,Excellent app for enhancing the knowledge as well as earning foreign university certificates
4920,App start lagging after 5 min of watching video
4921,Excellent app for learning anything that you want to learn. Highly experienced and Nice explanation by instructors
4922,Worst app . Made me frustrating
4923,Amazing....
4924,The only app I've found that refuses to work on my Chromebook. Crashes as soon as I try to log in.
4925,Uploaded UI is very powerful and design is awesome
4926,Someone help me with Coursera contact(mail or contact) I was wrongly charged and there is no way to contact for refund inspire of cancelling the course well in advance. Worst online portal I have ever seen in my life!!!!
4927,أحد افضل البرامج لتقديم الكورسات على الانترنت ، ربما اودمي افضل بقليل ولكن كورسيرا ايضا ممتازة جدا ، اللطيف بالموضوع هنا يوجد كورسات مدفوعة وهناك كورسات مدفوعة ولكن يمكن الحصول عليها ومشاهدتها بدون الحصول على شهادة ، والكورسات هنا تقدم من جامعات عالمية كبيرة . للامانة سأحاول اكمال الكورسات التي لدي لأعود لكورسيرا واتابع كورساتها . لذا حاليا لا احتاجه كثيرا .
4928,Great app! :)
4929,Fantastic app! It gives a user friendly experience.
4930,I think the app should have a wishlist so that one can list the courses that they want to enroll later.
4931,1)It keeps annoying me by asking my id and pwd before sbmting each assignment and also that image verification process 2)Video doesn't resumes to the point where I stop instead it takes me back to start of the video
4932,"App keeps telling me that there is no internet connection, but I connected to wifi and use other internet services normally. The refresh button is disabled somehow, not clickable. Edit: Have just uninstalled and downloaded again, still get error."
4933,The app hangs again and again while starting....i have to uninstall it everytime....it just suck...can the developer make it right....i really got irritated
4934,I would appreciate if the app has auto rotate functions. Not everyone using the phone one way only.
4935,Good bt very expensive
4936,You guys should add the option to sign in with multiple accounts.
4937,It's great app that make person skill full
4938,Excellent
4939,"Courses are good , everything is great but I can't access to the course after opening the app . I have to clear the app data before opening the app to access the content . It's so frustrating"
4940,"Please add ""Add notes"" option in android app..."
4941,❤
4942,Amazing app !! I am really greatful that you have included in video questions in the updated version !!
4943,Nice
4944,I couldn't able to do anything properly...
4945,"One star. I cannot even use the app. Doesn't download the course, if choose ""Download course for offline Coursera use"" the whole app doesn't use internet because I turn on the function even if I enter with internet. My University do partnership with you but I cannot even use it."
4946,"Courses are good, but very bad experience in using app."
4947,I like the course so far but.. is it possible to add a feature for taking notes like the desktop version? It's a very important feature for me.
4948,Really really disappointing 1) Web version show the course is free and when i check in app it's not 2) web version has badge free but now both apo and web version don't have that badge 3) now they are charging fir everything like for enrolling in any course . .... They are not what they used to be sad 🤐
4949,The courses here are amazing but it glitches a lot. It doesn't show the courses tour doing sometimes. Please fix it
4950,One of the best platforms for Massive Online Open Courses.
4951,"Splashscreen lasts for over 10 seconds, although their content is nice, using the app with low internet speeds is pathetic."
4952,Great app. Features are really user-friendly.
4953,"Love all the courses, easy to follow. Great way to up your skill set."
4954,"Awesome experience ,valuable content"
4955,Good platform to learn.
4956,"It will be great if you fix this lagging problem asap,so that I can get back to learning from the mobile app."
4957,Great learning 🤘
4958,I already purchased 1 course and as I was not able to do it for some time and now when I am trying to start it they are again asking to purchase. I tried to contact on help centre but they are not even taking my complaint I did course before as well it wasn't like this ever turning in to bad service.
4959,"With coursera, learning never stops"
4960,"An amazing platform to widen your learning experience and make your resume worth a while with the certificate u achieve after completion. Go ahead learners, grab the opportunity to learn more."
4961,"I love this app, I'm so grateful for every professors who share with their outstanding knowledge."
4962,I can't use the app.. it says I dont have internet network but I can use courses via website
4963,Error occured while accessing quiz.Please try again ? What is this error..i was on the last quiz of the module and am facing this issue The name of the course was initiating and planning projects
4964,Really great!!!
4965,Amazing site. Helpful. Informative. Best in comparison with tedx and other sites. Highly recommended site.
4966,Option to download certificate is required......
4967,A Great app for Learning & Accessing courses from Leading University. The content is easily accessible and relevant. However the app is unable to optimize tests and course content on App. They should work on it.
4968,good
4969,I am unable to unenroll from courses!!! Please help.
4970,Overall it seems good but needs improve to make it user friendly
4971,"Works pretty well, but freezes up on occasion."
4972,The best app l have downloaded ever
4973,"Worst ! Unable to log in , just keep loading infinitely...hated the app...web is pretty good."
4974,This is one of the best online learning plate form to learn different kind of stuff and there a great variety of courses to pick up I like this app soo much also I have learner many new skills from this
4975,Downloaded Video keeps on breaking after every few seconds...not working smoothly...the in memory cache is also too high...not properly managed memory...😐
4976,Aaaaa
4977,"Didn't have the courses I was looking for. It's not like it was even obscure. I'm looking for full stack or front end courses in React. Pretty popular query. Oh well, I guess I'll look elsewhere."
4978,"App is not working properly I am able to use in laptop but not in mobile,academic content is pretty good"
4979,"There should be a system to set up the video quality that I want to stream with. I mean there should be a option to set the quality in settings, and it will work automatically in every videos, and I won't have to change quality in starting of every videos. And videos don't rotate automatically while watching, hoping you would fix it too."
4980,I like coursera from the very beginning. The new UI is looks very good.
4981,The reason I am giving 4 stars is that while pausing the video for taking notes and then start it after sometime it start lagging and offline mode doesn't work as expected. And rest is nice . Mentors are top-notch and materials too.
4982,Excellent app for growing
4983,It's good for learning but we can't compete our assignment plzzz improve this problem quickly
4984,I can't login in it . please fix your app.
4985,Ok
4986,Yeung i v
4987,"Hi, coursera. For some weeks i haven't be able to access coursera from any platform, either mobile or web. At first, I thought coursera was down. Then i checked and it's not. I turned out that my IP was stopping me from accessing coursera. I don't know if it's because of the regulation of my country (because they blocked some other ie. reddit etc) or something else. Now i can only access coursera and continue my courses through VPN. I think other people may experienced this same issue too."
4988,Best
4989,its good
4990,Best hai yaar full of knowledge 😍😍
4991,This is being absolutely a mind boggling app if yu need a good marketing or brand knowledge there videos are amazing.
4992,"Full of crash, not loading and complicated."
4993,Wonderful platform to grow up technically
4994,My business experience started here.
4995,The app starts lagging after one I watch one video. And then it crashes after about 20 minutes after this recent update. Please fix this as soon as possible.
4996,Hi I'm ganya I did enter my app
4997,"Userfriendly,informative Give it a try"
4998,"We are living in Malaysia since 2013. In the beginning I wanted a job but I didn't have enough experience. I heard through unhcr about coursera. At first I didn't have any idea how it works, but after one week i felt that it's very useful and helpful for me. I have done 5 different English language courses. It's amazing, I got confidence and started a new life. Thank you so much coursera and unhcr for giving me that amazing opportunity. Love you all."
4999,"Hell lot of problems, spent my time more on reaching help rather than gaining knowledge. Bad experiencw"
5000,It is an awesome app. Coursera has made learning so much easy and productive. I would request the developer to please enable notes taking service in Android version. Just because of this I have to take written notes which is very time consuming
5001,Content is awesome....
5002,On part of knowledge it is quit good..But there are some issues in downloading sector
5003,Wonderful
5004,It just crashes now on my phone.
5005,"Amazing app to learn, have been using it for almost a month now."
5006,Unable to understand
5007,Good app
5008,It's a great app to learn professional and competitive coding
5009,Unable to login. Not able to change password. Unable to access coursera website. Udemy woops your @$$ 👎👎👎
5010,"The new UI is pretty good, but why can't we rotate the screen to both sides in landscape mode. It would be much easier for me, to hold my mobile other way around."
5011,Good but lags a lot
5012,Best app. Ever 💙
5013,Disgusting app We cant even edit the information in ths
5014,Good
5015,Great intuitive UI..easy to use .the offline features are great
5016,Super
5017,It worked good for 1 day and then it crashed every time I tried to use it
5018,"Since few days back, sometimes after opening the coursera, it doesnt get way past welcome (coursera written on blue screen)"
5019,"Its a good online course plat form... gave quiz, assignements with a.. regular gap. Honestly did correction on time...."
5020,Can't login to the app. But logging in through browser is possible
5021,Best app for learning
5022,A great learning platform. Thank you Coursera.
5023,It is a good app for learning. But I found problem in downloading sector. Most of the time I can not download contents. Please solve it quickly.
5024,App is getting crashed while watching videos..
5025,👍
5026,Very good app
5027,Very easy
5028,"It is fantastic, easy to learn and many interesting courses"
5029,"For an app to promote education, they should take some lessons on app development and work on their pathetic app, which won't even let a user login even if the login information is correct"
5030,The forum takes a lot of time to answer.
5031,Needs a dark mode UI
5032,Great learning experience. Coursera is definitely on my list of top 5 favorite apps for 2020.
5033,I enrolled myself in a course via audit feature. Now I want to buy the course in order to get ther certificate but there is no option for that. I am not able to buy the certificate.
5034,please add dark mode
5035,"The content is really good. But the app could do better. First of all, it'd be much more helpful if we could be able play and pause videos using the button on earphones. Second, the app really lags and becomes awfully slow when you download the courses offline. Autoplay for the next videos can't be disabled. There are stability issues with this app, I'd recommend using Coursera from the Browser."
5036,Very nice.I really like it.
5037,This app causes a lot of problems and annoys me much not able to load any courses..even though I have high speed internet
5038,It has a good or appreciable content bt at the last moment when i m performing the test or review of the chapter it is not submitting the ans and that problem is happening since last 2 weeks Good for learning bt at the time of cerificate it just bluffs
5039,I wish cerificatttes that I gained from this coursera will not be a deterrance for my workplace to accept them if they are not fake nor real.
5040,Great app for learning
5041,Exceptionally useful.....!
5042,"Good,...."
5043,Worst app too slow even my phone is 4gb ram it works slow worst rating .... we can learn course it's good but the app works slow
5044,"Misleading information. Even don't know where Buddha born. Don't know about other courses but in Buddhism course some wher they provide totally false information. please Google "" where is lord buddha born"" you will find, how false information this app provide you. i request you all reader please shear this Gautama Buddha born in Nepal not in India. please healp to save small country in global map."
5045,Very bad app
5046,Best app for online course
5047,Worst application ever takes too much time even with fast internet connection
5048,This app is gonna make me rich.
5049,Superb
5050,Everything fine except ID verification... I am facing problem while uploading ID.
5051,"This app is easy to use, works smoothly and has really good data optimization. I prefer watching the lecture videos on app and solving assignments on their website."
5052,Nice app for varieties of courses
5053,"I did a course on ""Using Databases With Python"" and it's been 3days, and I've not got my certificate, though I've completed it fully n properly. Also the help section of the application is not working."
5054,Hands down amazing
5055,Super and exciting educational app
5056,"The current version is disappointing. I can't watch one video on the app without it lagging. Works fine for the first 2 mins and then starts to lag, the voice breaks and becomes difficult to understand the content of the video. Poor app experience."
5057,At the beginning it was perfect but now its starting to crash and slow down a lot and load slowly.
5058,Is there any option to rate this app for half star? Such a worse ui/ux design... The app gets hang for every 2 mins of use and have to close n open for smooth experience... Prefer UDEMY over this worst learning app... Paying money is worth to learn in udemy instead of enrolling in coursera!!! Please fix the bug if possible... The download option in this app is the worst of all... Wont properly function at all and uses lots of data for downloading nothing! Such a pathetic app!!!! Prefer UDEMY pls
5059,"Good app but I faced problem in assignment..when I copy assignment link and paste it in forum it doesn't turn to link, it just turns to some blank words..please look into it"
5060,I great platform to learn exciting things
5061,Can't upload file
5062,"Courses are satisfactory , but the thing I felt it is short of is, courses heavily lack practice questions and exercises, more practice content (more good if they are real and practical in nature or industry level exposure) , heavy testing to complete courses, so that, in the end student really can appreciate that couresera course really transformed his/her life. Video based learning can play it's role in learning upto some extent only, it cannot make student think on his own."
5063,Please make the video to be able to roate right also.
5064,Nice app very smooth and interactive ui unlike competitor apps. Also very good in app content.
5065,This is a great app to study but not in free. They can distribute free certificate to devlop the usage many users.
5066,This app is useless
5067,The app is very useful and very good. However speaking from the app perspective... The app heats up my phone really bad and drains my battery easily. You guys must do something about this issue
5068,Awesome🇹🇿
5069,"There should be a bookmark option to pin a course and come to enroll later. Also, the offline mode needs more work. I experienced sometimes no photos or nothing at all using offline mode."
5070,0 customer support.. Pathetic experience.. Courses are also not up to the mark. Many modules take you through online reading and book discussion.. Waste of time.. I experienced that the content they are offering can easily be learnt through you tube unless you need a certificate to show on your table.. I don't recommend it to anyone..
5071,Good
5072,Great for self developement and education... Haven't experienced anything as good as Coursera.... I do prefer the use on laptop instead of phone though..
5073,"Videos bug. Other than that, everything is perfect"
5074,It's all paid.
5075,"I completed my first course in under a week, but it was a five week course, and I also completed a four week course in under a day. This I like!"
5076,Nice
5077,Marvelous. Love it 🇧🇩 ❤❤
5078,Could u please help me to solve one problem? The course certificate that my friend have got is very awkward. the university logo... It looks like sardines in a can.
5079,I don't understand why app throws me out of video after 5-6 minutes Not one or twicr or thrice It happens with during every video
5080,Best learning app
5081,good app
5082,I love this platform. The quality of content is commendable. The fact that it comes from one of the best sources is promising for beginners. The app and websites are user friendly😍
5083,Awesome app to grab knowledge...
5084,Excellent platform for Knowledge Enhancement & Learning
5085,Goood
5086,buggy. Great material but at times the screen cuts of the information. keep getting unavailable notifications after each quiz and my response is not recorded. In order for me to complete each quiz I am forced todo this on the desktop browser. Please fix.
5087,I took a fantastic class on design thinking from UVA. I am excited about taking more in the future.
5088,Well made app
5089,Its very helpful
5090,Best Online Learning Platform Ever.. Special Thank You Andrew Ng for creating This...
5091,ok
5092,One of the best online learning platform with quality study materials.
5093,Good app
5094,I am unable to play the videos it is showing Unable to play video try again Please Fix this as soon as possible.
5095,Thanks for giving such a great knowledge
5096,Ok
5097,This application has many bug's.
5098,Love it
5099,"I had done a online course but I didn't get the certificate ,what to do?"
5100,Will be great if you can integrate dark mode to the app. It's too bright for me.
5101,Nice
5102,Good platform for IT learning skills
5103,I am not able to log in
5104,Coursera help me to get stronger in my career and i stongly recommend coursera it has lot of cool and interesting courses
5105,Best platform for doing online degree /certificate courses. I Complete 4 certificate cources through this. Thnak you Coursera❣️
5106,Good
5107,Excellent
5108,Very good aap
5109,Great app to educate yourself.
5110,Login prosess is so bad
5111,Click
5112,Beautiful content from world class universities..
5113,"I am able to stream on YouTube at 720p But coursera application is saying no internet connection. Worst possible application ever, i felt"
5114,Great resource
5115,Great platform to get educated in your interests.
5116,Great app I don't use it
5117,Verry worstt cousre app😩..I ever used.. don't waste ur mb
5118,Simply Great
5119,Not use full
5120,Nice app to learn courses but i have some problems in uploading some assignments and some audio files please handle it as soon as possible
5121,Nice
5122,"It was working well. All of a sudden, it stopped loading ""My Courses"". I have uninstalled it and installed it again several times and still no works."
5123,Such a great app
5124,Very nice interface
5125,No ability to take notes during videos on the Android app. Why? Available on iOS
5126,Fantastic learning app 💙💙
5127,"It's a good application (app) for learner's , They will have good types of knowledge.."
5128,"I completed my entire course within the deadline but because there was an error in all the surveys I had to do, I missed my deadline. I have no idea who to contact and the app has no troubleshooting section."
5129,I'd verification isn't working. Worst experience. It starts from first after I uploaded my id. I am tired of it.
5130,A wonderful platform however The only thing they should add is bookmarking or saving-for-later for their whole catalog of courses as its difficult to compare them or even find them later if you cant go through with them in your first go.. which is hardly possible.
5131,"Please give the feature of downloading subtitles in the application. You've it on the website. Once we download the course, we need subtitles to watch a course video. Thank you"
5132,"Really disappointed with the payment system. I didn't know that a course fee is being charged every month. I didn't even want the subscribed course and got charged twice, atleast the team can set up a reminder system before charging an account."
5133,I love the web version of cousera buy this app is the worst I'm not able to verify my account and the same problem is in web version also I have completed many courses but due to the verification I'm not able to get any certificate's plz help
5134,The best
5135,This app is great when it comes to learning from top institutes of the world. But the bugs are really annoying. I have to restart my phone after watching a few videos everytime. I hope the developers will solve this problem soon.
5136,"The app is quite good , it provide u all the platform for practise like virtual matlab and many more. the ui is very simple and easy"
5137,Very helpful.
5138,So much good.
5139,Very helpful in discovering new opportunities of learning..
5140,Worst app 😠
5141,When i gave my test and passed it didn't show me where i gave wrong answers and what was the right answer that must be changed
5142,"You can learn in any university, choose any course only through online. Top Most universities are providing courses here that could be free for people who apply financial aids. In action to help more poor students to gain knowledge. Not only student many PhD analyst etc also studying some courses. Thanks to coursera. 😊😊"
5143,I want 4.4 version of this app coz I have 4.4 android mobile
5144,"Excellent app, a very educative and necessary tool for anyone that is willing to learn something new everyday regardless"
5145,Best app to learn new skills.
5146,1.App doesn't work properly 😡😑😒 2. Sometimes its hang out. Very bad experience 3star for best app for learning skills 😊😎 🤗
5147,Pls introduce this in dark mode ..bcz I have using Coursera min.6 hrs a day.it leads to eye irritation...
5148,The best free learning app I have ever used.
5149,"I kept all the optional honours assignments to complete it at the last but just after completing the last week's activities I got my certificate although there was a quiz (optional) left on the last week but I got my certificate . I just wanted to complete each and every activity given in the course . I think there should be an option for an individual to choose whether they want to complete the course ,when optional activities are still left but the compulsory week activities are done ."
5150,"Foe the current version, it is telling me that my credentials are not correct. I used the same set of info to login on my web browser pc and android."
5151,Just incredible thanks everyone
5152,Please solve the app crash issue.
5153,Excellent
5154,Project manager
5155,Please update web development and data science courses .
5156,"My app is lagging during playing the videos of a course, whether online or dowloaded. Please fix the lag of the videos. Phone also gets heated up quickly."
5157,"Informative and usefull, simple UI"
5158,Best
5159,Good
5160,Very good
5161,"Excellent learning app ! But there are some things to improve like video lags after using the app only for 15-20 mins. Though the app isn't contains big files, I am facing heating issues with my device. While using other video apps, there are no heating issues even after using 3-4 hours. Thanks !"
5162,"Online courses, very useful, lot of learnings."
5163,Great app but sometimes glitch like assigment cant submit.
5164,too many crashes and bugs........makes the learning interest gone away
5165,Nice platform for online learning
5166,Excellent app
5167,Excellent
5168,"It's gud , user friendly"
5169,great app
5170,Best for learning courses . I like it
5171,Nice app
5172,Honestly it's the best edtech app I had ever discovered Bug : just accent. Although provide very vast and deep knowledge. 5 stars for information. Ty
5173,Best App for learning
5174,"Best app to learn, all the courses are worthy"
5175,Wonderful app. Great features. The only problem is that my phone heats up after I'm into few minutes of a video. Then the video and audio starts lagging. I have to restart the app to get the videos run smoothly. This is the case for even videos that have been downloaded for offline watch. Need a fix for this!
5176,Yes maybe super
5177,"Wonderful. I cannot thank enough. Unbelievably great content, courses and structure of courses."
5178,"Really a superb app during quarantine, with lots of free courses...but i am sad that certificates or a bit costly and unable to afford...but really the true fact is I enjoy learning with coursera..Thank you for free courses"
5179,Login password reset won't work. I haven't received email . Not even in spam folder
5180,"Since i've selected personal development category from the recommended topics, i'm not able to adjust it again neither from the app or from the web page, i don't know how they didn't notice this behaviour in the app"
5181,"Best app ever for every course Please make sure you can update more course like autocad mechanical by autodesk , Solidworks by Dassault system , creo by ptc and ansys course for engineer."
5182,A brilliant thought provoking course I am enriched with the knowledge.
5183,Coursera is a huge part of my life. It is kind of baffling how the app version of it falling behind in portable space. The web version that I use on my phone via chrome has more options and functionalities such has taking notes or participating in surveys but the app version is so restrictive and limited that using it becomes very frustrating. We need a better app. Coursera deserves better.
5184,Sometimes it crashes
5185,Content does not download. Neither it shows how much time is left. What % of individual videos have downloaded. Very poorly built app. Not expected from those who teach these things.
5186,Bad
5187,Good experience motivated lectures full of knowledge
5188,At the time of upload assignment submission failed and unknown error
5189,Nice
5190,"Though the courses are awesome. But the are a few bugs. (1) After watching few tutorials it starts disrupting the video Then I have to close the application and have to wait for few minutes like half an hour. Then it starts working fine. But again after 45 minutes it happens. I think it's giving me time for rest seriously fix this bug.😂😂 Jokes apart, but (2) When I start watching videos, my phone heats up like a small heater, everytime. Thank You for the rest. Please check this."
5191,"I suggest a wishlist button, it'll be easier to browse for the courses I'm interested in, thanks"
5192,Everything is working fine...but there is no admin module in that..if it is added ..let make great stuffs.
5193,expensive 😢
5194,No save notes option on my mobile. For its one of the most important features and it doesn't exist in my app
5195,Extremely helpful for online learning .
5196,Wow factor
5197,Need video pre buffer feature to be included While watching remain buffer need to download based on network.
5198,There is glitch in videos even after I downloaded them. Course content is really good and everyone should try this. Coursera must remove this glitch in next update
5199,Gd app
5200,Best app for gaining skills
5201,Good app for learning at home
5202,fantastic
5203,See the r se ek ek kore see se t no one issues with we
5204,Can I get darkmode in this app
5205,Great app
5206,Nice
5207,"Amazing Platform, One of the top of the all learning platforms!"
5208,Assessment response is very poor otherwise it is great application
5209,This is an amazing platform specially for those who are always interested in learning new things.
5210,Nice
5211,More problems while using
5212,Very useful app to complete course and to get certificate.
5213,"The player lags when i play offline video. I dont know why the downloaded video lag even having a good phone. Please solve this. I was completing ""Programming for everyone : python course"" by University of Michigan."
5214,All the content and teachers are very good .This app provides good education and clear all the contents in a perfect manner
5215,Got my first certificate and done 1st course. Brilliant
5216,Wonderful app for online learners.
5217,Very nice this app
5218,A well Defined Platform to go for Learning.
5219,Good
5220,"I am trying to log into my account after a factory reset and I am unable to log in. If I type forgot password, ino email confirmation is coming. Moreover, I have paid for a course already. Please resolve."
5221,Best learning app
5222,I had enrolled to 11 courses at a time. When I reopened the app they just disappeared. Then I opened their website on Chrome. There is a section on their website called 'Updates'. I found my those enrolled cpurses there. But I don't know why they don't have 'Updates' feature on their app. And also don't understand why my courses disappeared from 'My Courses' section in the app. Also not having a 'Wish List' feature is also problematic. Needs lots of improvement.
5223,The app was working very well before last the update my courses won't load it keep saying check your internet connection although i have pretty good internet connection (mobile data as well as wifi ) search option works in the app but can't load the course please fix this bug/issue as Soon as possible since we need complete the courses in time
5224,My account is not opening despite of my several attempts...now how am I suppose to complete my course?
5225,OFFLINE feature is very useful... And easy layout easy to use
5226,"While the courses are wonderful, the app has a lot of bugs. Not being able to view courses sometimes, cannot give exams at times, etc. Please fix these"
5227,Best Experience as a student.
5228,"It shows ""We had trouble loading your data"" from the moment I logged in for the first time. Everything works fine on the browser"
5229,Your application is not working right now. It showing no internet connection on every device. Hellow?
5230,Initially everything was good but now whenever I open this app it doesn't load my enrolled courses
5231,Awesome learning app
